'001;002;8050846006553;OBAGB002-EVS00-422;CORPS O BAG MINI EVA COMPOUND;UNICA;422;46,80;3,000;MINIOBODY       ;SANGR;0;sangria;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'002;014;CodeBarre;OBAGB002-EVS18-347;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS;UNICA;347;99,00;3,000;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'003;015;CodeBarre;OBAGS002-TESE5-076;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU NYC LOSANGES;UNICA;76;31,20;4,000;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'004;016;CodeBarre;OBAGT001-TESE3-227;REVERS O BAG EN TISSU NYC VICHY;UNICA;347;31,20;4,000;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'005;017;8050846002012;OBAGS002-TES01-347;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA;76;43,20;4,000;MINICANVAS      ;CEDRO;0;cedro;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'006;018;CodeBarre;OBAGB001-EVS17-008;CORPS O BAG EVA COMPOUND + CLOUS PYRAMIDES;UNICA;227;50,88;4,000;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'007;019;CodeBarre;OBAGB001-EVS17-422;CORPS O BAG EVA COMPOUND + CLOUS PYRAMIDES;UNICA;36;54,00;5,000;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF166_2018BLAGNAC.txt;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 
'008;4202221000-SOFEA-422;CodeBarre;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS-76;UNICA;76;055;54,00;PROF166_2018BLAGNAC.txt;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 ;CodeBarre
'009;4202221000-P.Iva-055;CodeBarre;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU NYC À RAYURES BICOLORE-55;UNICA;55;036;99,00;PROF166_2018BLAGNAC.txt;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 ;CodeBarre
'010;4202229090-OBAGS002-076;CodeBarre;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU NYC À RAYURES BICOLORE-36;UNICA;36;002488;57,60;PROF166_2018BLAGNAC.txt;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 ;CodeBarre
'011;4202229090-OBAGS002-076;CodeBarre;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS-55;UNICA;55;4002487;31,20;PROF166_2018BLAGNAC.txt;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 ;CodeBarre
'012;4202229090-OBAGS002-076;CodeBarre;CORPS O BAG EVA COMPOUND + CLOUS PYRAMIDES-347;UNICA;347;57,60;54,00;PROF166_2018BLAGNAC.txt;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 ;CodeBarre
'013;6307909810-OBAGS002-076;CodeBarre;CORPS O BAG MINI EVA COMPOUND TEXTURE À CHEVRONS-422;UNICA;422;78,00;32,40;PROF166_2018BLAGNAC.txt;CodeBarre;CodeBarre;CodeBarre;CodeBarre;PROF;01/02/2018;3042,76;2975,76;2018 01/OBAG/1280  | 2018 01/OBAG/1280  | 2018 01/OBAG/1280 ;CodeBarre
